"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"24.12.2025","6.932,05","6.904,91","6.937,32","6.904,91","-","0,32%"
"23.12.2025","6.909,79","6.872,41","6.910,88","6.868,81","-","0,46%"
"22.12.2025","6.878,49","6.865,21","6.882,03","6.855,74","-","0,64%"
"19.12.2025","6.834,50","6.792,62","6.840,02","6.792,62","-","0,88%"
"18.12.2025","6.774,76","6.778,06","6.816,13","6.758,50","-","0,79%"
"17.12.2025","6.721,43","6.802,88","6.812,26","6.720,43","-","-1,16%"
"16.12.2025","6.800,26","6.800,12","6.819,27","6.759,74","-","-0,24%"
"15.12.2025","6.816,51","6.860,19","6.861,59","6.801,49","-","-0,16%"
"12.12.2025","6.827,41","6.886,85","6.899,85","6.801,79","-","-1,07%"
"11.12.2025","6.901,00","6.861,30","6.903,46","6.833,45","-","0,21%"
"10.12.2025","6.886,68","6.833,49","6.900,67","6.824,69","-","0,67%"
"09.12.2025","6.840,51","6.840,61","6.864,92","6.837,43","-","-0,09%"
"08.12.2025","6.846,51","6.875,20","6.878,27","6.827,19","-","-0,35%"
"05.12.2025","6.870,40","6.866,32","6.895,78","6.858,29","-","0,19%"
"04.12.2025","6.857,12","6.866,47","6.866,47","6.827,12","-","0,11%"
"03.12.2025","6.849,72","6.815,29","6.862,42","6.810,43","-","0,30%"
"02.12.2025","6.829,37","6.830,96","6.851,55","6.806,71","-","0,25%"
"01.12.2025","6.812,63","6.812,30","6.843,65","6.799,94","-","-0,53%"
"28.11.2025","6.849,09","6.822,52","6.850,86","6.819,75","-","0,54%"
"26.11.2025","6.812,61","6.793,55","6.831,44","6.783,87","-","0,69%"
"25.11.2025","6.765,88","6.697,03","6.776,40","6.659,98","-","0,91%"
"24.11.2025","6.705,12","6.636,54","6.715,75","6.630,70","-","1,55%"
"21.11.2025","6.602,99","6.555,77","6.660,05","6.521,92","-","0,98%"
"20.11.2025","6.538,76","6.737,93","6.770,35","6.534,05","-","-1,56%"
"19.11.2025","6.642,16","6.625,84","6.689,75","6.603,50","-","0,38%"
"18.11.2025","6.617,32","6.641,19","6.666,63","6.574,32","-","-0,83%"
