"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.06.2025","5,6393","5,6740","5,7107","5,6247","","-0,60%"
"02.06.2025","5,6734","5,7236","5,7236","5,6663","","-0,86%"
"30.05.2025","5,7227","5,6666","5,7410","5,6495","","0,99%"
"29.05.2025","5,6666","5,6897","5,7036","5,6421","","-0,39%"
"28.05.2025","5,6890","5,6417","5,7182","5,6374","","0,83%"
"27.05.2025","5,6424","5,6691","5,6747","5,6354","","-0,47%"
"26.05.2025","5,6693","5,6467","5,6787","5,6352","","0,40%"
"23.05.2025","5,6468","5,7163","5,7459","5,6432","","-1,21%"
"22.05.2025","5,7160","5,6455","5,7167","5,5946","","1,24%"
"21.05.2025","5,6458","5,6680","5,6785","5,6402","","-0,40%"
"20.05.2025","5,6682","5,6516","5,6835","5,6412","","0,29%"
"19.05.2025","5,6516","5,6638","5,6911","5,6315","","-0,21%"
"16.05.2025","5,6633","5,6821","5,7140","5,6610","","-0,33%"
"15.05.2025","5,6821","5,6378","5,6977","5,6136","","0,78%"
"14.05.2025","5,6384","5,6088","5,6390","5,5824","","0,53%"
"13.05.2025","5,6085","5,6749","5,6758","5,5950","","-1,18%"
"12.05.2025","5,6752","5,6500","5,7065","5,6498","","0,35%"
"09.05.2025","5,6556","5,6620","5,6806","5,6376","","-0,10%"
"08.05.2025","5,6615","5,7454","5,7489","5,6597","","-1,47%"
"07.05.2025","5,7459","5,7142","5,7644","5,6962","","0,57%"
"06.05.2025","5,7135","5,6879","5,7384","5,6865","","0,44%"
"05.05.2025","5,6886","5,6553","5,6905","5,6286","","0,54%"
"02.05.2025","5,6579","5,6709","5,6739","5,6259","","-0,27%"
"01.05.2025","5,6734","5,6734","5,6734","5,6734","","-0,02%"
"30.04.2025","5,6748","5,6200","5,6871","5,6031","","0,96%"
"29.04.2025","5,6210","5,6544","5,6633","5,6191","","-0,59%"
"28.04.2025","5,6546","5,6872","5,7005","5,6460","","-0,52%"
"25.04.2025","5,6841","5,6823","5,7077","5,6641","","0,01%"
"24.04.2025","5,6833","5,7068","5,7114","5,6622","","-0,46%"
"23.04.2025","5,7096","5,7251","5,7286","5,6558","","-0,28%"
"22.04.2025","5,7255","5,8070","5,8073","5,7180","","-1,40%"
"21.04.2025","5,8067","5,8073","5,8073","5,8070","","0,00%"
